,Teaching in large class environments,Teaching in online/hybrid environments,Teaching in seminar-style classes,Facilitating learning through group work,Facilitating learning in a SCALE-UP classroom,Using effective classroom management techniques,Using Canvas for collaboration,Identifying instructional goals and objectives,Aligning course content with learning goals,Creating engaging learning experiences,Using open educational resources,Using Canvas for course design,Using multimedia to enhance courses,Creating videos for instructional purposes,Having students create and share multimedia projects,Managing time effectively,Using Google Apps for project management,Using Office365 for collaboration,Using Adobe suite for visual design projects,"Using Office365 for document, spreadsheet, and/or presentation creation",Choosing the right technology for the job required,"Using programming languages, such as R or Python",Reporting productivity using VTelements (for FAR),Developing effective surveys,Using focus groups for qualitative data,Publishing / Posting publications,Data visualization,Using a citation manager,Using scholarly databases and journals,Data curation and use,Using tools for data collection,Managing big data,Measuring student learning effectively,Developing assessments aligned with instructional goals and objectives,Designing and using authentic assessments,Giving effective feedback,"Using technology to design, deliver, and grade assessments",Using embedded assessment for program-level assessment,Using Canvas: for gradebook and assignments,Using Canvas: for tests and quizzes,Using SPOT reporting,Differentiating instruction for student readiness levels,Planning instruction for a diverse student body,Using effective techniques for handling controversial topics,Using accessible technology for student success,"Making course materials accessible for all students (e.g. hearing impaired, vision impaired)",Building rapport with students,Helping students become self-regulated learners,Working with people with autism and their communities,Working with children - classroom management techniques,Connecting Schools and Museums,Communicating with the public,Culturally-relevant/sensitive engagement,Assessing / Evaluating the impact of outreach and engagement,Working with children - safety and liability
Academy of Integrated Science,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,0.0,0.0,50.0,100.0,100.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,50.0,0.0,50.0,0.0,50.0,50.0,50.0,0.0,50.0,50.0,0.0,0.0,50.0,50.0,0.0,0.0
Accounting & Information Systems,0.0,25.0,0.0,50.0,12.5,25.0,37.5,12.5,12.5,37.5,12.5,12.5,50.0,62.5,37.5,37.5,50.0,25.0,25.0,37.5,50.0,75.0,25.0,12.5,25.0,37.5,62.5,25.0,12.5,37.5,37.5,37.5,12.5,12.5,12.5,50.0,62.5,37.5,37.5,37.5,37.5,12.5,12.5,62.5,37.5,37.5,25.0,25.0,0.0,0.0,0.0,37.5,12.5,25.0,0.0
Aerospace and Ocean Engineering,28.571,14.286,0.0,0.0,14.286,0.0,42.857,14.286,0.0,42.857,28.571,28.571,14.286,28.571,14.286,14.286,14.286,14.286,14.286,28.571,42.857,28.571,14.286,0.0,0.0,14.286,28.571,42.857,28.571,57.143,42.857,57.143,28.571,28.571,14.286,14.286,57.143,28.571,14.286,14.286,14.286,14.286,42.857,0.0,28.571,42.857,14.286,42.857,0.0,0.0,0.0,14.286,14.286,14.286,0.0
Ag Leadership&Community Education,0.0,0.0,16.667,0.0,16.667,0.0,33.333,0.0,0.0,0.0,16.667,0.0,16.667,50.0,50.0,0.0,16.667,0.0,33.333,0.0,33.333,16.667,50.0,0.0,16.667,0.0,33.333,33.333,0.0,16.667,33.333,33.333,0.0,0.0,0.0,0.0,0.0,33.333,0.0,16.667,33.333,0.0,16.667,16.667,33.333,33.333,0.0,0.0,33.333,0.0,50.0,0.0,16.667,0.0,0.0
Agricultural & Applied Economics,10.0,40.0,30.0,30.0,50.0,50.0,70.0,20.0,20.0,70.0,50.0,30.0,90.0,60.0,40.0,30.0,60.0,40.0,60.0,30.0,70.0,40.0,60.0,40.0,20.0,40.0,50.0,40.0,10.0,40.0,30.0,50.0,60.0,40.0,60.0,40.0,60.0,70.0,20.0,40.0,40.0,60.0,70.0,50.0,60.0,90.0,10.0,60.0,20.0,0.0,0.0,20.0,20.0,30.0,10.0
Agriculture Technology,50.0,50.0,50.0,50.0,100.0,100.0,50.0,50.0,50.0,100.0,100.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,100.0,50.0,50.0,0.0,100.0,50.0,0.0,0.0,50.0,0.0,50.0,50.0,50.0,0.0,100.0,100.0,100.0,50.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,0.0,50.0,0.0,50.0,50.0,50.0,0.0,50.0,50.0
Animal and Poultry Sciences,0.0,28.571,0.0,14.286,14.286,28.571,14.286,0.0,0.0,14.286,28.571,0.0,28.571,42.857,14.286,14.286,14.286,14.286,42.857,0.0,28.571,28.571,28.571,42.857,28.571,0.0,14.286,14.286,0.0,42.857,28.571,42.857,42.857,42.857,42.857,28.571,42.857,42.857,14.286,14.286,28.571,42.857,42.857,42.857,28.571,57.143,28.571,42.857,42.857,0.0,0.0,14.286,42.857,42.857,0.0
Apparel Housing and Resource Mgmt,0.0,50.0,50.0,50.0,50.0,0.0,50.0,0.0,0.0,0.0,50.0,100.0,100.0,50.0,50.0,50.0,50.0,50.0,100.0,50.0,50.0,0.0,100.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,100.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,50.0,50.0,100.0,0.0,100.0,50.0,0.0,0.0,0.0,0.0,100.0,50.0
Biochemistry,0.0,0.0,33.333,33.333,0.0,33.333,66.667,66.667,66.667,33.333,33.333,66.667,33.333,66.667,33.333,66.667,33.333,0.0,66.667,0.0,0.0,33.333,33.333,33.333,0.0,66.667,66.667,33.333,0.0,0.0,0.0,0.0,66.667,66.667,33.333,33.333,33.333,66.667,33.333,0.0,33.333,66.667,66.667,66.667,33.333,33.333,0.0,33.333,0.0,0.0,33.333,33.333,33.333,66.667,33.333
Biological Sciences,0.0,30.769,23.077,53.846,30.769,30.769,38.462,23.077,23.077,38.462,30.769,30.769,46.154,38.462,38.462,38.462,38.462,7.692,38.462,0.0,46.154,69.231,30.769,30.769,7.692,23.077,15.385,53.846,7.692,15.385,30.769,61.538,46.154,53.846,69.231,30.769,15.385,23.077,23.077,23.077,15.385,61.538,69.231,53.846,84.615,92.308,30.769,61.538,15.385,30.769,15.385,23.077,30.769,61.538,23.077
Biological Systems Engineering,18.182,0.0,27.273,9.091,18.182,36.364,27.273,0.0,0.0,0.0,18.182,9.091,18.182,36.364,27.273,27.273,9.091,36.364,9.091,9.091,0.0,9.091,18.182,40.0,20.0,10.0,0.0,10.0,10.0,0.0,10.0,30.0,50.0,30.0,40.0,40.0,10.0,20.0,10.0,10.0,20.0,30.0,40.0,40.0,30.0,30.0,20.0,40.0,30.0,30.0,30.0,30.0,10.0,50.0,30.0
Biomedical Engineering & Mechanics,0.0,0.0,0.0,33.333,33.333,0.0,33.333,0.0,0.0,0.0,0.0,33.333,0.0,33.333,33.333,0.0,33.333,33.333,33.333,33.333,66.667,66.667,100.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,0.0,66.667,33.333,0.0,0.0,0.0,0.0,33.333,33.333,33.333,33.333,33.333,0.0,33.333,0.0,33.333,33.333,33.333,33.333,0.0,0.0,33.333,33.333,66.667,0.0
